{ Units, Wavelength Units } SI Nanometers
{ Thickness } 3
{ Conductivity } 0.2
{ IR Transmittance } TIR=0
{ Emissivity, front back } Emis= 0.9 0.9
{ Manufacturer: Roehm }
{ Type: Coated }
{ Coated Side: Front }
{ Material: PMMA }

2160 0.057 0.041 0.041
2165 0.058 0.044 0.044
2170 0.056 0.043 0.043
2175 0.051 0.048 0.048
2180 0.044 0.046 0.046
2185 0.036 0.048 0.048
2190 0.028 0.046 0.046
2195 0.021 0.051 0.051
2200 0.015 0.052 0.052
2205 0.010 0.047 0.047
2210 0.006 0.048 0.048
2215 0.002 0.049 0.049
2220 0.001 0.052 0.052
2225 0.000 0.051 0.051
2230 0.000 0.046 0.046
2235 0.000 0.044 0.044
2240 0.000 0.046 0.046
2245 0.000 0.044 0.044
2250 0.000 0.048 0.048
2255 0.000 0.039 0.039
2260 0.000 0.048 0.048
2265 0.000 0.039 0.039
2270 0.000 0.046 0.046
2275 0.000 0.047 0.047
2280 0.000 0.046 0.046
2285 0.000 0.035 0.035
2290 0.000 0.039 0.039
2295 0.000 0.044 0.044
2300 0.000 0.041 0.041
2305 0.000 0.038 0.038
2310 0.000 0.040 0.040
2315 0.000 0.044 0.044
2320 0.000 0.039 0.039
2325 0.000 0.043 0.043
2330 0.000 0.039 0.039
2335 0.000 0.042 0.042
2340 0.000 0.042 0.042
2345 0.000 0.037 0.037
2350 0.000 0.049 0.049
2355 0.000 0.034 0.034
2360 0.000 0.039 0.039
2365 0.000 0.047 0.047
2370 0.000 0.051 0.051
2375 0.000 0.048 0.048
2380 0.000 0.045 0.045
2385 0.000 0.062 0.062
2390 0.000 0.042 0.042
2395 0.000 0.052 0.052
2400 0.000 0.048 0.048
2405 0.000 0.046 0.046
2410 0.000 0.041 0.041
2415 0.000 0.042 0.042
2420 0.000 0.055 0.055
2425 0.000 0.050 0.050
2430 0.000 0.046 0.046
2435 0.000 0.048 0.048
2440 0.000 0.038 0.038
2445 0.000 0.044 0.044
2450 0.000 0.045 0.045
2455 0.000 0.039 0.039
2460 0.000 0.055 0.055
2465 0.000 0.040 0.040
2470 0.000 0.055 0.055
2475 0.000 0.043 0.043
2480 0.000 0.051 0.051
2485 0.000 0.048 0.048
2490 0.000 0.032 0.032
2495 0.000 0.071 0.071
2500 0.000 0.050 0.050
