{ Units, Wavelength Units } SI Nanometers
{ Thickness } 3
{ Conductivity } 0.2
{ IR Transmittance } TIR=0
{ Emissivity, front back } Emis= 0.04 0.9
{ Manufacturer: Roehm }
{ Type: Coated }
{ Coated Side: Front }
{ Material: PMMA }

1785 0.018 0.882 0.244
1790 0.019 0.883 0.257
1794 0.019 0.883 0.276
1799 0.020 0.884 0.299
1804 0.021 0.884 0.323
1808 0.021 0.885 0.344
1813 0.022 0.885 0.361
1817 0.022 0.886 0.374
1822 0.022 0.886 0.382
1827 0.022 0.887 0.387
1831 0.022 0.887 0.389
1836 0.022 0.888 0.387
1840 0.021 0.888 0.381
1845 0.021 0.889 0.373
1850 0.020 0.889 0.364
1854 0.020 0.890 0.356
1859 0.019 0.890 0.350
1863 0.019 0.891 0.347
1868 0.019 0.891 0.344
1873 0.019 0.892 0.337
1877 0.018 0.892 0.321
1882 0.017 0.893 0.291
1886 0.015 0.893 0.253
1891 0.013 0.893 0.210
1896 0.011 0.894 0.167
1900 0.010 0.894 0.132
1905 0.008 0.895 0.111
1910 0.008 0.895 0.104
1914 0.009 0.895 0.119
1919 0.010 0.896 0.145
1923 0.011 0.896 0.177
1928 0.012 0.897 0.202
1933 0.013 0.897 0.218
1937 0.013 0.897 0.226
1942 0.013 0.898 0.229
1946 0.013 0.898 0.235
1951 0.013 0.898 0.247
1956 0.014 0.899 0.267
1960 0.015 0.899 0.293
1965 0.015 0.899 0.322
1969 0.016 0.900 0.349
1974 0.016 0.900 0.370
1979 0.017 0.900 0.384
1983 0.017 0.901 0.392
1988 0.017 0.901 0.397
1992 0.017 0.901 0.399
1997 0.016 0.902 0.399
2002 0.016 0.902 0.398
2006 0.016 0.902 0.398
2011 0.016 0.903 0.397
2016 0.016 0.903 0.395
2020 0.016 0.903 0.395
2025 0.016 0.903 0.392
2029 0.015 0.904 0.386
2034 0.015 0.904 0.379
2039 0.015 0.904 0.374
2043 0.015 0.905 0.367
2048 0.014 0.905 0.359
2052 0.014 0.905 0.351
2057 0.014 0.906 0.342
2062 0.013 0.906 0.334
2066 0.013 0.906 0.326
2071 0.013 0.906 0.316
2075 0.012 0.907 0.301
2080 0.012 0.907 0.281
2085 0.011 0.907 0.257
2089 0.010 0.908 0.229
2094 0.009 0.908 0.199
2098 0.008 0.908 0.168
2103 0.007 0.908 0.140
2108 0.006 0.909 0.118
2112 0.006 0.909 0.103
2117 0.005 0.909 0.094
2122 0.005 0.909 0.086
2126 0.004 0.910 0.080
2131 0.004 0.910 0.076
2135 0.004 0.910 0.068
2140 0.004 0.910 0.069
2145 0.004 0.911 0.074
2149 0.004 0.911 0.083
2154 0.005 0.911 0.088
2158 0.005 0.911 0.090
2163 0.005 0.911 0.093
2168 0.005 0.912 0.093
2172 0.005 0.912 0.092
2177 0.004 0.912 0.088
2181 0.004 0.912 0.082
2186 0.004 0.912 0.077
2191 0.003 0.913 0.071
2195 0.003 0.913 0.069
2200 0.002 0.913 0.066
2205 0.002 0.913 0.066
2209 0.002 0.913 0.066
2214 0.002 0.914 0.066
2218 0.002 0.914 0.066
2223 0.002 0.914 0.066
2228 0.002 0.914 0.066
2232 0.002 0.914 0.066
2237 0.002 0.915 0.067
2241 0.002 0.915 0.067
2246 0.002 0.915 0.067
